ID_Regle,Cle_Parametre,Valeur_Coefficient,Description_Regle
SAISON-01,BASSE_SAISON,-0.07,"Saisonnalite basse — mois de Novembre, Janvier, Fevrier, Aout (-7%)"
SAISON-02,MOYENNE_SAISON,0,"Saisonnalite moyenne — mois de Decembre, Octobre, Septembre (0%)"
SAISON-03,HAUTE_SAISON,0.10,"Saisonnalite haute — mois de Mars, Avril, Juillet (+10%)"
SAISON-04,TRES_HAUTE_SAISON,0.15,"Saisonnalite tres haute — mois de Mai, Juin (+15%)"
DELAI-01,DD_PRIORITAIRE,0.10,"Depart dans moins de 2 jours apres la demande (+10%)"
DELAI-02,DD_URGENT,0.05,"Depart entre 2 et 7 jours apres la demande (+5%)"
DELAI-03,DD_NORMAL,-0.05,"Depart entre 7 jours et 3 mois apres la demande (-5%)"
DELAI-04,DD_3MOISETPLUS,-0.10,"Depart a 3 mois ou plus (-10%)"
CAPACITE-01,CAPACITE_PETIT,-0.05,"Moins ou egal a 19 passagers (-5%)"
CAPACITE-02,CAPACITE_STANDARD,0,"Entre 20 et 53 passagers (0%)"
CAPACITE-03,CAPACITE_MOYEN,0.15,"Entre 54 et 63 passagers (+15%)"
CAPACITE-04,CAPACITE_GRAND,0.20,"Entre 64 et 67 passagers (+20%)"
CAPACITE-05,CAPACITE_TRES_GRAND,0.40,"Entre 68 et 85 passagers (+40%)"
OPTION-01,SUPP_GUIDE,80,"Supplement guide / accompagnateur (+80 EUR par jour)"
OPTION-02,SUPP_NUIT_CHAUFFEUR,120,"Supplement nuit chauffeur (+120 EUR par nuit)"
OPTION-03,TVA_RATE,0.10,"Taux de TVA applicable (10%)"
OPTION-04,MARGE_COMMERCIALE,0.15,"Marge commerciale appliquee au devis avant envoi (+15%)"
OPTION-05,PEAGES_PAR_KM,0.06,"Calcul automatique du forfait peages : distance_km * 0.06 EUR (moyenne reseau autoroutier francais)"
PRIX-01,PRIX_PAR_KM,2.50,"Prix de base par kilometre — hypothese projet : tarif marche autocaristes France 2024-2026 pour autocar 50+ places"
PRIX-02,PRIX_MINIMUM,350,"Prix minimum d'une prestation — couvre mobilisation autocar + chauffeur sur demi-journee"
